//////
Buffer size (Samples)
32022528
Sampling Rate (Hz)
1000000000
///
1	153949.6119491878	59011.4172822333	1466112.5657517109	2131812.8273585397	3490363.0478553097	1501670.3523999106	457129.0339401062	-83712.5311320830	293217.1703190954	113143.8776101624	2813472.4268514966	4080565.7010404677	6683426.7023135712	2875032.0892211883	875082.1577869180	-160069.8372255932	203164.5489975057	77809.2747945446	1945842.1961609027	2825998.0970256939	4626854.4277018979	1990866.2063367390	606397.6009709165	-110601.7373509050	100545.5014020130	38668.5131107700	962869.2737432847	1398017.4383873753	2289267.0039022528	984082.0730515717	299795.2840020626	-54712.3140389166	16204.8940405954	6223.5357438363	153522.9979614351	222484.1619589809	365401.4537505596	156443.6639775598	47574.8229026765	-8918.1279129493	-20826.7486399575	-7780.2723752478	-200456.8421970932	-291887.5357928019	-477539.3846542034	-205207.6188663181	-62810.0262705056	11351.3459624424	-16036.2269282425	-5910.5283920120	-149613.6450578792	-218333.6094529451	-357382.9429491638	-153685.7989545360	-46562.8566759002	8496.0175166683	2692.2086770913	628.1755504125	26203.7382842479	38358.2826949827	62074.1998163293	27195.7446887391	8185.5482880052	-1080.4369244052	
2	153483.5460505804	58744.3188495299	1461213.0258028349	2125135.1133691883	3479209.4537715446	1496762.1939644490	455450.3493960252	-83351.5105615647	292044.7602917546	112508.8495389246	2800623.5520163802	4063152.0946043986	6654422.5342598809	2862320.2927788836	870875.5402626551	-159222.8946991318	202861.1698684126	77580.9564126855	1942033.8547312692	2821196.7875585589	4618701.7713379776	1987186.8662911311	605024.3155468550	-110310.9653124201	100143.8738428147	38437.8202595373	958554.6551777548	1392082.6276321469	2279378.0116537958	979753.7901437389	298359.4735106485	-54414.9960537781	16086.8985803994	6171.8331044944	152327.6098007003	220816.0176295888	362606.7262207406	155248.1881915132	47197.1619579816	-8823.9637695063	-20762.2313901014	-7742.8665399559	-199677.1693897496	-290784.6558992469	-475706.5002508234	-204407.5650721892	-62517.3617972947	11308.6550188667	-15956.5843296319	-5875.7054053946	-148893.0484179138	-217297.7855799517	-355682.3188455327	-152945.3258545984	-46330.9168505372	8446.8467508874	2701.8963199907	653.1890299229	26258.7441711035	38464.2140872826	62235.1637287350	27246.2034797503	8194.0416656674	-1103.5828666619	
3	153349.8541706639	58896.8983115886	1460939.8821829432	2122534.9501460972	3482980.5120325289	1496198.2783930113	455725.0211660991	-83015.9993384657	291923.3216115854	112830.9475579192	2801035.8471975727	4059538.1804979295	6663876.3732082611	2862176.1236989158	871681.9920406034	-158652.4420318096	202745.0873385137	77792.8735480222	1942062.8352499839	2818333.2589556952	4624643.7036226494	1986834.4707026253	605503.0935341519	-109907.1324067856	100172.4856221220	38580.4137507195	959374.5286658192	1391840.5957985579	2284290.6277500638	980430.0380831894	298858.7810241590	-54276.0715906002	16099.2888856245	6201.5737141053	152691.1385944295	221080.7130979790	363890.9652564594	155574.7187220197	47333.2160728847	-8812.1678188555	-20742.1720498769	-7763.1280138782	-199598.0845324891	-290385.9313643195	-476172.7758917722	-204305.2753171767	-62549.1835637711	11264.6657643019	-15925.1135200819	-5887.9721456095	-148795.1034571661	-216899.7562985658	-355854.3068369867	-152777.1815092175	-46312.8807019858	8415.1745601097	2721.1186914412	669.2450974514	26429.8503943224	38677.6440006236	62742.0564152836	27423.2747345869	8259.8823258426	-1099.9012305337	
4	153062.4336337219	58324.9319009417	1457691.4961077401	2126569.3215446328	3442578.8261983562	1489253.1728972804	451335.4289570143	-83973.7961714953	292142.9744180097	112082.9544600601	2803138.8209220706	4079209.5552081335	6605909.8772993814	2857307.8142887405	865823.0689224786	-160938.3173325979	202960.1824385633	77274.1213255868	1943924.0092834644	2832617.8272955841	4585399.4002492242	1983880.9528142188	601575.5966129844	-111503.5996398535	100039.4670262135	38238.0233185837	958067.0009723154	1395658.4109197126	2259630.6800302588	976678.7806474242	296210.2827779243	-54936.5616895705	15997.2575027181	6115.5158948101	151601.2639311924	220419.9555912637	357933.1068427827	154074.0571837426	46632.1455835092	-8876.7305846684	-20790.3752648136	-7713.0848412717	-199988.4623754877	-292159.2278455967	-472581.9085293953	-204189.6233021953	-62200.4450746674	11435.3990450723	-15935.1361661390	-5834.6568865519	-148732.0065623801	-217762.8050272608	-352425.5715296431	-152384.1153218134	-45955.1508488024	8522.6116134241	2911.3228087426	728.3809638015	28314.4487580743	41593.8423170088	66571.9522815938	29283.3976830311	8788.4455473347	-1228.4070014710	
5	153005.2197223155	58519.6378199747	1457784.9848346764	2119091.9549467177	3468078.0640898808	1490288.5588056010	453025.5035584948	-83305.6031373913	292188.5480681600	112475.3674323276	2804024.8363721939	4066096.7438603225	6656798.7159889434	2860120.5679601561	869342.4936854454	-159699.6910105286	202833.1634919017	77518.5770847323	1943220.0565401956	2821517.3896836629	4617488.3169358773	1984435.1389711644	603589.5261076202	-110580.0720722611	100051.1047822333	38375.9561049022	958459.6769004621	1391276.8158306552	2277271.9170753788	977743.9224525933	297460.0857576266	-54521.8416214985	16000.3399666635	6131.3268558935	151732.2551633650	219851.0751570894	360913.5344957150	154338.4244052187	46867.5010892332	-8808.3728385217	-20802.7476096828	-7757.5072059270	-200212.1483935310	-291389.8633931712	-476544.9619288021	-204526.6630372218	-62499.4413313028	11361.1362111074	-15920.3562581942	-5860.0840408353	-148644.6764657681	-216844.6099675828	-354814.2332827689	-152383.9104210636	-46111.3634881044	8447.2867311413	2882.2201260313	738.7789915899	27987.9182665404	40933.5742367373	66244.6937935693	28933.7239393467	8711.1796045584	-1198.4651475361	
6	153028.6794916379	58248.7720334884	1458836.3130196342	2124470.9541552747	3455995.9888158734	1489458.1209948196	451717.5657886848	-84074.4865264854	292896.5833793010	112208.9012505196	2812309.3811656595	4085609.0777872377	6648612.6469925176	2864972.8246204671	868760.9628771344	-161532.2350145497	203098.2521474882	77232.8872393835	1946740.4622325883	2831786.7416788582	4606522.4010156849	1985512.4915069791	602479.5239761209	-111717.3534761528	100160.8514835556	38226.7495333285	959950.8588623609	1395976.2606994675	2271229.3491841746	978015.5026271505	296830.8299167386	-55072.1570964041	15930.0254221028	6073.1858351720	151278.1592568831	219590.8131235610	358314.4137527181	153676.0014909504	46541.7790565442	-8860.1793537350	-20834.5296221460	-7736.4900440090	-200604.4467095165	-292524.6246372554	-475513.2323973922	-204690.2629818608	-62390.3959472531	11476.7829667914	-15918.5584308647	-5834.3367859027	-148899.0205845085	-217563.8658354518	-353859.2036216503	-152412.4098504653	-46006.4474919657	8534.1176102024	2991.2813679170	759.0483579560	28963.1281767636	42427.6811434750	68301.6665437532	29903.5105715576	8968.8096480078	-1261.4877666123	
7	153186.3647272320	58644.9443831543	1461423.6205701185	2121367.7557569472	3485355.6355945417	1493034.9661458333	454287.7829508026	-83537.8806670104	293320.6748778860	113008.2081704480	2819316.5555139184	4082203.9630779931	6709356.7169272834	2873742.9054835397	874267.9568164012	-160607.0734642812	203080.2326072445	77642.5437032329	1948468.8909527692	2824999.1931040548	4641252.3016776191	1988444.9711123370	605357.1041456815	-110890.9880723970	100320.4362528780	38510.5635232796	962348.5658096700	1394897.4384982972	2292123.0911648199	981045.7567912190	298729.2159229902	-54746.0669328793	16053.4683512807	6159.1895375656	152415.4272931856	220512.9706166859	363428.0927916747	154920.7998369148	47077.2234416970	-8860.0487916507	-20826.0714686860	-7752.5463963370	-200693.3551589681	-291718.6672492565	-478937.4684602040	-204917.9247050077	-62679.2359808695	11389.1631651317	-15971.7608973283	-5862.9057493525	-149215.2335685677	-217381.2301149991	-357082.7610582150	-152886.4812312132	-46292.7389287941	8491.1604460460	2918.9272002510	720.8249882083	28443.4208687084	41519.7591705439	67462.2643079272	29381.0645035895	8831.8673573804	-1205.9083355318	
8	153068.3396588801	58664.4697982620	1460085.3084478527	2119343.1763888225	3481440.1655144780	1491566.0957515908	453743.3611557463	-83360.0752330359	293052.0306244404	113032.0784028044	2815629.7197113233	4077029.1355066034	6699596.9943030104	2869897.8924347260	872932.8998604983	-160217.2120567121	203049.0795669848	77754.7745207374	1947575.1136729743	2823741.0555878663	4638427.4428592268	1987459.2689736425	604930.2750323772	-110726.8288834660	100238.6668345485	38532.4195796159	961342.2558089105	1393440.9193747602	2289293.7301299884	979991.1537557560	298343.1271424917	-54641.6535159248	15996.9617459309	6143.6894736106	151956.7159379797	219843.8914224386	362210.5640978751	154452.5612358899	46926.6951076442	-8822.2026243525	-20826.9063449332	-7785.4665665372	-200666.0218686045	-291653.9858039940	-478747.7518686844	-204862.7218728015	-62631.1008400086	11372.5338791491	-15921.4022648056	-5875.1184875847	-148927.2213012039	-216909.4236747330	-356214.0007874456	-152550.0065274047	-46178.6423457886	8470.2736313635	2952.4557891245	758.0391674261	28747.4818727616	41998.7367893003	68252.2500249824	29706.1661450339	8947.7154413293	-1246.7213651589	
9	153320.5413908608	58407.0171908976	1461797.9431370315	2128229.0451472164	3460950.5006085713	1491753.3438729134	452453.8859273072	-84276.3234812692	293646.1647939850	112559.4311094989	2819681.6982604247	4095350.5533834179	6662214.2598130917	2871157.8376922645	870739.3109900630	-161995.6996064771	203432.9382424773	77427.2412071901	1950042.2876235130	2835860.7795811747	4611613.0654829005	1987932.9637884928	603281.2233907329	-111926.1009119580	100406.7142411742	38357.6681236410	962331.9673399926	1399069.2834554473	2275517.7935093693	979966.7823951938	297461.0851150790	-55217.7882720565	16041.1150869788	6130.7253383618	152335.3960022144	221079.4599711803	360598.8596028396	154690.6611495507	46871.8701314275	-8920.0520243748	-20854.5888284648	-7742.9872140013	-200705.7009255484	-292553.9319209277	-475419.6990098970	-204672.9684731949	-62399.6445712219	11471.6795376055	-15980.5285259178	-5862.2951502142	-149450.1520589505	-218327.4660958685	-354973.4214483004	-152917.9552205247	-46168.8580339441	8575.2360138463	2977.4004780634	761.9774798542	28835.0958645114	42214.4186932400	67941.9203700595	29746.0053932032	8930.5082821694	-1248.7724481965	
10	153287.1508368109	58351.2630148376	1461775.1715252462	2128168.2590566240	3463920.6271714712	1492480.3103515126	452784.5667789876	-84143.1409427763	293373.4566125448	112424.6092450915	2818530.8544284822	4093238.9684931808	6664663.4264997439	2871205.7766242567	870928.0981479039	-161688.7897749984	203239.8344295616	77294.7417727920	1949105.9942560438	2834355.1569944760	4613187.3655626439	1987909.2602367932	603411.2580673206	-111712.3319882802	100343.7061238888	38321.1971492070	962151.3557795312	1398770.0325330966	2277022.4764845548	980249.0992341392	297597.3731742853	-55130.5187418058	16034.7747455791	6116.7624712203	152223.2796261432	220892.9566934878	360650.2006617342	154638.2650973714	46849.9943589713	-8915.5256049741	-20850.1007450755	-7720.9029053546	-200854.7267403748	-292828.4271692729	-476257.4264207997	-204957.8080211531	-62503.1187264166	11479.5807531498	-15976.1794436717	-5839.7545228159	-149351.7284002063	-218212.2036176532	-355083.8544294817	-152916.1022080455	-46161.5686426756	8559.1650198260	2970.4592716727	732.2338833461	28909.0237352904	42350.3952327561	68182.0061926404	29864.9844569423	8961.0127690106	-1241.3816533161	
